index,Country_code_A3,Name,C_group_IM24_sh,dev_country,Substance,FOOD_system_stage,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
0,AGO,Angola,10:_Southern_Africa,D,GWP_100_CO2,LULUC (Production),10273.5451,10273.5451,10273.5451,10273.5451,10273.5451,10271.716,10269.8864,10270.6118,10275.3727,10288.098,10298.7806,35618.9874,35618.9874,35617.1149,35617.1457,35612.3011,35610.495,35610.495,35607.8851,35606.0653,35605.4601,35604.1556,35604.1556,35604.1556,35602.6343,35601.0571,35597.6207,35597.6207,35592.0828
1,AGO,Angola,10:_Southern_Africa,D,GWP_100_CH4,LULUC (Production),7662.4856,7662.4856,7662.4856,7662.4856,7662.4856,7662.4856,13344.3884,12118.148,16257.6792,15152.0824,10982.6388,4296.1996,4839.3268,5350.6936,6019.51,6347.754,5866.9352,5901.7812,6113.4584,6739.5328,7193.0068,6248.508,6645.6348,5922.2156,6228.5104,6667.6736,6293.3276,7681.6264,4870.0764
2,AGO,Angola,10:_Southern_Africa,D,GWP_100_N2O,LULUC (Production),5009.7985,5009.7985,5009.7985,5009.7985,5009.7985,5009.6395,3758.7865,3417.5195,4570.2695,4263.797,3104.2895,3759.502,4228.8435,4670.572,5248.5105,5531.716,5116.037,5146.141,5328.832,5869.6705,6261.4995,5445.1405,5788.289,5163.1805,5427.73,5807.051,5483.2475,6682.929,4252.879
3,ALB,Albania,12:_Central Europe,I,GWP_100_CO2,LULUC (Production),116.8068,116.8068,116.8068,116.8068,116.8068,116.8068,116.8068,116.8068,116.7717,116.7132,116.7132,116.6896,116.6896,116.6896,116.6195,116.6195,116.6195,116.6195,116.6195,116.6195,116.6195,116.6195,116.6195,116.5582,116.5582,116.497,116.3398,116.3398,114.1346
4,ALB,Albania,12:_Central Europe,I,GWP_100_N2O,LULUC (Production),12.4815,12.4815,12.4815,12.4815,12.4815,12.4815,12.4815,12.4815,12.4815,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.455,12.402,12.402,12.19
5,ARG,Argentina,06:_Rest South America,D,GWP_100_CO2,LULUC (Production),84418.5046,84418.5046,84418.5046,84418.5046,84418.5046,84423.2052,84422.6389,84422.6986,84427.5749,84429.7037,84434.7675,130700.8084,130718.6268,130729.8295,130729.7803,130721.2494,130724.994,130728.3252,130733.1727,130732.8363,130732.8931,100312.9622,100312.9574,100311.9814,100306.8446,100306.8307,57663.081,57662.2476,57652.4348
6,ARG,Argentina,06:_Rest South America,D,GWP_100_N2O,LULUC (Production),1112.0195,1112.0195,1112.0195,1112.0195,1112.0195,1113.5565,1236.7285,1381.975,1351.341,1569.5685,1194.461,1055.23,1033.871,1087.454,1089.5475,1070.8385,1038.5615,1071.0505,1039.7275,1091.747,1071.9515,1019.932,1047.704,1307.0065,1000.481,1002.0445,1018.4215,1239.6965,1020.9655
7,ARG,Argentina,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),364.0924,364.0924,364.0924,364.0924,364.0924,364.0924,975.3044,1496.3592,1381.9764,2161.3816,805.084,91.3528,61.1352,120.9236,124.6056,105.3556,67.1244,103.4544,65.3212,125.37,101.5644,41.5072,73.7016,374.5056,21.8288,23.6908,42.1428,298.1188,41.2776
8,ARM,Armenia,16:_Russia +,I,GWP_100_CO2,LULUC (Production),0.0,0.0,54.2254,54.2254,54.2254,54.2254,54.2254,54.2254,54.2254,54.2254,54.2254,207.196,207.196,207.196,207.196,207.196,207.196,207.196,207.196,207.196,207.196,35.3649,35.3649,35.3649,35.3649,35.3649,36.0668,36.0668,36.0668
9,ASM,American Samoa,24:_Oceania,D,GWP_100_CO2,LULUC (Production),7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,7.9612,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.0212,8.8374,8.8374,8.8374,8.8374,8.8374,9.2257,9.2257,9.2257
